player_id,Player,DraftYear,Pick,PickBand,text_profile
52,Andy Duncan,1947,53,SecondRound,"Giocatore: Andy Duncan. Provenienza: William & Mary. Scelto al Draft NBA 1947 con la pick 53. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 59.6%, tiratore di liberi migliorabile. Rimbalzi: 30.0 a partita, forte rimbalzista. Assist: 101.0 a partita, ottimo playmaker e passatore. Segna in media 746.0 punti a partita. Win Shares in carriera: 6.8."
53,Herman Knoche,1947,54,SecondRound,"Giocatore: Herman Knoche. Provenienza: Washington & Jefferson College. Scelto al Draft NBA 1947 con la pick 54. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
54,Roy Lipscomb,1947,55,SecondRound,"Giocatore: Roy Lipscomb. Provenienza: St. Mary's College of Maryland. Scelto al Draft NBA 1947 con la pick 55. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
55,Paul Napolitano,1947,56,SecondRound,"Giocatore: Paul Napolitano. Provenienza: San Francisco. Scelto al Draft NBA 1947 con la pick 56. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: -10000.0%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
56,Irv Rothenberg,1947,57,SecondRound,"Giocatore: Irv Rothenberg. Provenienza: Long Island University. Scelto al Draft NBA 1947 con la pick 57. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 60.6%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 90.0 a partita, ottimo playmaker e passatore. Segna in media 709.0 punti a partita. Win Shares in carriera: 3.6."
57,Hugh Hampton,1947,58,SecondRound,"Giocatore: Hugh Hampton. Provenienza: High Point University. Scelto al Draft NBA 1947 con la pick 58. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
58,George Felt,1947,59,SecondRound,"Giocatore: George Felt. Provenienza: Northwestern. Scelto al Draft NBA 1947 con la pick 59. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
59,Jim Pollard,1947,60,SecondRound,"Giocatore: Jim Pollard. Provenienza: Stanford. Scelto al Draft NBA 1947 con la pick 60. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 75.0%, buon tiratore di tiri liberi. Rimbalzi: 2487.0 a partita, forte rimbalzista. Assist: 1417.0 a partita, ottimo playmaker e passatore. Segna in media 5762.0 punti a partita. Win Shares in carriera: 34.9."
60,Wat Misaka,1947,61,SecondRound,"Giocatore: Wat Misaka. Provenienza: Utah. Scelto al Draft NBA 1947 con la pick 61. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 33.3%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 0.0 a partita, non particolarmente orientato agli assist. Segna in media 7.0 punti a partita. Win Shares in carriera: 0.0."
61,Jack Walton,1947,62,SecondRound,"Giocatore: Jack Walton. Provenienza: DePaul. Scelto al Draft NBA 1947 con la pick 62. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
