player_id,Player,DraftYear,Pick,PickBand,text_profile,Status
37,Bob Kurland,1947,38.0,SecondRound,"Giocatore: Bob Kurland. Proveniente da Oklahoma State. Selezionato al Draft NBA 1947 con la pick 38 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
38,Wimpy Quinn,1947,39.0,SecondRound,"Giocatore: Wimpy Quinn. Proveniente da Oregon. Selezionato al Draft NBA 1947 con la pick 39 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
39,Abel Rodrigues,1947,40.0,SecondRound,"Giocatore: Abel Rodrigues. Proveniente da San Francisco. Selezionato al Draft NBA 1947 con la pick 40 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
40,Charles Raynor,1947,41.0,SecondRound,"Giocatore: Charles Raynor. Proveniente da Houston. Selezionato al Draft NBA 1947 con la pick 41 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
41,Jack Hewson,1947,42.0,SecondRound,"Giocatore: Jack Hewson. Proveniente da Temple. Selezionato al Draft NBA 1947 con la pick 42 (SecondRound). Tiri liberi: 70.0%, tiratore di liberi migliorabile. Segna 2.7 punti a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.1.",Retired
42,Andy Phillip,1947,43.0,SecondRound,"Giocatore: Andy Phillip. Proveniente da Illinois. Selezionato al Draft NBA 1947 con la pick 43 (SecondRound). Tiri liberi: 69.5%, tiratore di liberi migliorabile. Segna 9.1 punti a partita. Cattura 4.4 rimbalzi a partita. Distribuisce 5.4 assist di media. Win Shares totali: 60.5.",Retired
43,Ron Livingstone,1947,44.0,SecondRound,"Giocatore: Ron Livingstone. Proveniente da Saint Mary's. Selezionato al Draft NBA 1947 con la pick 44 (SecondRound). Tiri liberi: 69.2%, tiratore di liberi migliorabile. Segna 6.3 punti a partita. Cattura 4.7 rimbalzi a partita. Distribuisce 1.9 assist di media. Win Shares totali: 2.4.",Retired
44,Dick Ives,1947,45.0,SecondRound,"Giocatore: Dick Ives. Proveniente da Iowa. Selezionato al Draft NBA 1947 con la pick 45 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
45,Bob Joyce,1947,46.0,SecondRound,"Giocatore: Bob Joyce. Proveniente da Bates College. Selezionato al Draft NBA 1947 con la pick 46 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
46,Bill Strannigan,1947,47.0,SecondRound,"Giocatore: Bill Strannigan. Proveniente da Wyoming. Selezionato al Draft NBA 1947 con la pick 47 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
